Rank,Name,Global Score,Country,"City, State",Link
1,Harvard University,100.0,United States,"Cambridge, MA",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,Massachusetts Institute of Technology,98.4,United States,"Cambridge, MA",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-166683
3,Stanford University,94.9,United States,"Stanford, CA",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,University of California--Berkeley,90.3,United States,"Berkeley, CA",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
5,University of Oxford,87.2,United Kingdom,Oxford,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
6,California Institute of Technology,87.1,United States,"Pasadena, CA",https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404
7,Columbia University,86.5,United States,"New York, NY",https://www.usnews.com/education/best-global-universities/columbia-university-190150
8,Princeton University,85.6,United States,"Princeton, NJ",https://www.usnews.com/education/best-global-universities/princeton-university-186131
9,University of Cambridge,85.5,United Kingdom,Cambridge,https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
10,University of Washington,85.3,United States,"Seattle, WA",https://www.usnews.com/education/best-global-universities/university-of-washington-236948
11,Johns Hopkins University,84.8,United States,"Baltimore, MD",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
12,Yale University,84.4,United States,"New Haven, CT",https://www.usnews.com/education/best-global-universities/yale-university-130794
13,University of Chicago,84.2,United States,"Chicago, IL",https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
14,University of California--Los Angeles,84.1,United States,"Los Angeles, CA",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
15,University of California--San Francisco,83.5,United States,"San Francisco, CA",https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
16,University of Pennsylvania,83.4,United States,"Philadelphia, PA",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
17,University of Michigan--Ann Arbor,83.3,United States,"Ann Arbor, MI",https://www.usnews.com/education/best-global-universities/university-of-michigan-ann-arbor-170976
18,University of Toronto,83.1,Canada,"Toronto, Ontario",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
19,University of California--San Diego,82.8,United States,"La Jolla, CA",https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
20,Imperial College London,82.7,United Kingdom,London,https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
21,University College London,82.4,United Kingdom,London,https://www.usnews.com/education/best-global-universities/university-college-london-501693
22,Duke University,81.6,United States,"Durham, NC",https://www.usnews.com/education/best-global-universities/duke-university-198419
23,Cornell University,81.3,United States,"Ithaca, NY",https://www.usnews.com/education/best-global-universities/cornell-university-190415
24,Northwestern University,79.9,United States,"Evanston, IL",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
25,Swiss Federal Institute of Technology Zurich,79.4,Switzerland,Zurich,https://www.usnews.com/education/best-global-universities/swiss-federal-institute-of-technology-zurich-502241
26,University of Melbourne,78.8,Australia,"Parkville, Victoria",https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
27,University of Sydney,78.0,Australia,"Sydney, New South Wales",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
28,New York University,77.8,United States,"New York, NY",https://www.usnews.com/education/best-global-universities/new-york-university-193900
28,University of Edinburgh,77.8,United Kingdom,"Edinburgh, Scotland",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
30,University of British Columbia,77.6,Canada,"Vancouver, British Columbia",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
31,Washington University in St. Louis,76.9,United States,"St. Louis, MO",https://www.usnews.com/education/best-global-universities/washington-university-in-st-louis-179867
32,University of Copenhagen,76.7,Denmark,Copenhagen,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
33,University of North Carolina--Chapel Hill,76.6,United States,"Chapel Hill, NC",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
34,National University of Singapore,76.5,Singapore,,https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
34,University of Texas--Austin,76.5,United States,"Austin, TX",https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
36,Tsinghua University,76.1,China,Beijing,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
37,King's College London,76.0,United Kingdom,London,https://www.usnews.com/education/best-global-universities/kings-college-london-500330
37,Sorbonne Universite,76.0,France,Paris,https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
37,University of Wisconsin--Madison,76.0,United States,"Madison, WI",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
40,University of Amsterdam,75.7,Netherlands,Amsterdam,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
41,University of California--Santa Barbara,75.6,United States,"Santa Barbara, CA",https://www.usnews.com/education/best-global-universities/university-of-california-santa-barbara-110705
42,University of Queensland Australia,75.5,Australia,"Brisbane, Queensland",https://www.usnews.com/education/best-global-universities/university-of-queensland-australia-500164
43,Nanyang Technological University,75.4,Singapore,,https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
43,University of Munich,75.4,Germany,Munich,https://www.usnews.com/education/best-global-universities/university-of-munich-500951
45,École Polytechnique Federale of Lausanne,75.3,Switzerland,Lausanne,https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-of-lausanne-501629
45,Ohio State University--Columbus,75.3,United States,"Columbus, OH",https://www.usnews.com/education/best-global-universities/ohio-state-university-columbus-204796
47,University of Minnesota--Twin Cities,75.1,United States,"Minneapolis, MN",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
47,University of Pittsburgh,75.1,United States,"Pittsburgh, PA",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
49,McGill University,74.7,Canada,"Montréal, Québec",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
50,University of Colorado--Boulder,74.4,United States,"Boulder, CO",https://www.usnews.com/education/best-global-universities/university-of-colorado-boulder-126614
