Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P Position,P/E Position
Carnival Corp.,CCL,6627397040,12.56,11.85,56.04,7.8,0.26,4.63,13.57,1.89,2.71,0.23,0.44,0.12,0.07,0.7,0.55,0.1,0.23
Royal Caribbean Cruises Ltd.,RCL,7814510000,37.39,34.01,135.32,19.25,0.64,4.17,14.18,2.02,8.97,0.15,0.58,0.15,0.06,0.86,0.74,0.16,0.18
Lockheed Martin Corp.,LMT,113172820680,401.51,377.88,442.53,266.11,36.19,18.18,20.17,12.13,22.09,1.22,0.93,1.99,0.13,0.73,1.02,0.77,0.75
The Boeing Co.,BA,86890804000,154.0,134.24,391.0,89.0,-10.08,-134.02,-110.45,-25.14,-1.15,1.05,1.06,0.07,-0.0,1.3,1.25,0.22,1.28
Southwest Airlines Co.,LUV,15868505110,31.19,30.68,58.83,29.15,1.61,7.28,13.75,6.81,4.28,0.67,0.64,0.23,0.09,1.67,1.5,0.07,0.07
"Delta Air Lines, Inc.",DAL,15535081380,24.27,22.78,63.44,19.1,1.01,3.3,8.65,2.61,7.35,0.41,0.76,0.31,0.07,1.0,0.71,0.12,0.11
"American Airlines Group, Inc.",AAL,4929502630,11.57,11.07,34.99,9.09,-41.78,3.03,7.13,1.85,3.81,0.45,1.0,-14.29,0.03,0.83,0.65,0.1,0.22
"United Airlines Holdings, Inc.",UAL,7190233560,29.08,28.21,96.03,17.8,0.62,2.49,7.94,1.47,11.67,0.55,0.8,0.26,0.05,0.94,0.71,0.14,0.16
JetBlue Airways Corp.,JBLU,2421968860,8.98,8.73,21.65,6.61,0.5,4.65,11.34,3.46,1.93,0.67,0.6,0.12,0.05,0.76,0.83,0.16,0.15
"Alaska Air Group, Inc.",ALK,3668969050,29.93,28.26,72.22,20.02,0.85,4.8,11.23,3.11,6.24,0.64,0.69,0.18,0.05,0.66,0.75,0.19,0.21
Archer-Daniels-Midland Co.,ADM,20722565520,37.19,35.66,47.2,28.92,1.08,15.13,17.88,10.95,2.46,1.55,0.56,0.07,0.03,0.91,1.15,0.45,0.6
Bunge Ltd.,BG,5698633140,40.09,38.11,59.65,29.0,0.96,-4.29,13.08,6.36,-9.34,1.55,0.65,-0.22,-0.07,0.99,1.25,0.36,-1.58
"Caterpillar, Inc.",CAT,63974652900,116.3,112.19,150.55,87.5,4.39,10.75,13.61,7.91,10.82,1.47,0.81,0.42,0.08,0.59,0.66,0.46,0.5
"Visa, Inc.",V,332722683514,169.54,162.42,214.17,133.93,8.34,30.89,38.18,23.87,5.49,1.56,0.52,0.34,0.16,0.87,1.11,0.44,0.49
Bank of America Corp.,BAC,201965407200,23.28,21.42,35.72,17.95,0.76,9.45,14.64,7.36,2.46,0.4,0.89,0.1,0.01,0.82,1.01,0.3,0.29
American Express Co.,AXP,70416939420,87.39,81.35,138.13,67.0,3.05,10.91,17.31,8.4,8.01,1.0,0.88,0.29,0.03,0.86,0.99,0.29,0.28
JPMorgan Chase & Co.,JPM,289969677200,95.18,87.33,141.1,76.91,1.11,10.72,15.94,8.69,8.88,0.56,0.9,0.14,0.01,0.91,0.99,0.28,0.28
"The Goldman Sachs Group, Inc.",GS,63427538770,183.49,177.04,250.46,130.85,0.7,9.86,13.61,7.11,18.61,1.07,0.91,0.09,0.01,0.94,1.1,0.44,0.42
"Apple, Inc.",AAPL,1237385744000,282.8,286.69,327.85,170.27,13.67,22.17,25.9,13.45,12.75,1.54,0.73,0.61,0.16,0.89,1.27,0.71,0.7
"Amazon.com, Inc.",AMZN,1183996875000,2375.0,2408.19,2461.0,1626.03,19.08,101.16,106.95,70.67,23.48,1.1,0.72,0.19,0.05,1.11,1.22,0.9,0.84
"Alphabet, Inc.",GOOG,881959853177,1283.25,1263.47,1532.11,1013.54,2.17,25.87,31.15,20.61,49.61,3.37,0.27,0.17,0.12,0.66,0.89,0.52,0.5
"Facebook, Inc.",FB,511001574882,179.24,176.25,224.2,137.1,4.27,27.67,34.81,21.29,6.48,4.4,0.24,0.18,0.14,0.76,0.9,0.48,0.47
Microsoft Corp.,MSFT,1358440530000,178.6,177.04,190.7,119.01,13.28,30.8,35.31,22.04,5.8,2.53,0.64,0.38,0.14,0.79,1.03,0.83,0.66
