Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,PE/PEH,P/L,PE/PEL,H/P,PEH/PE,L/P,PEL/PE,P Position,P/E Position
"Alphabet, Inc.",GOOG,770337722061,1120.84,1105.62,1532.11,1013.54,1.9,22.59,31.15,20.61,49.61,3.37,3.71,0.17,0.12,0.64,0.63,0.73,0.73,1.11,1.1,1.37,1.38,0.9,0.91,0.21,0.19
"Amazon.com, Inc.",AMZN,955301028480,1918.83,1907.7,2185.95,1626.03,15.39,81.73,95.0,70.67,23.48,1.1,1.38,0.19,0.05,0.61,0.69,0.88,0.86,1.18,1.16,1.14,1.16,0.85,0.86,0.52,0.45
"Apple, Inc.",AAPL,1071686316400,244.93,240.91,327.85,170.27,11.84,19.2,25.9,13.45,12.75,1.54,1.36,0.61,0.16,0.61,0.66,0.75,0.74,1.44,1.43,1.34,1.35,0.7,0.7,0.47,0.46
"Facebook, Inc.",FB,450913463637,158.19,159.6,224.2,137.1,3.77,24.42,34.81,21.29,6.48,4.4,4.13,0.18,0.14,0.76,0.78,0.71,0.7,1.15,1.15,1.42,1.43,0.87,0.87,0.24,0.23
The Walt Disney Co.,DIS,175073516800,96.97,94.92,153.41,79.07,1.97,15.41,27.59,14.22,6.29,0.75,2.13,0.12,0.06,0.49,0.51,0.63,0.56,1.23,1.08,1.58,1.79,0.82,0.92,0.24,0.09
Archer-Daniels-Midland Co.,ADM,19128950640,34.33,33.87,47.2,28.92,1.0,13.97,17.88,10.95,2.46,1.55,1.78,0.07,0.03,0.66,0.76,0.73,0.78,1.19,1.28,1.37,1.28,0.84,0.78,0.3,0.44
Bunge Ltd.,BG,5543654320,39.08,38.37,59.65,29.0,0.94,-4.19,13.08,6.36,-9.34,1.55,1.54,-0.22,-0.07,0.89,0.86,0.66,-0.32,1.35,-0.66,1.53,-3.12,0.74,-1.52,0.33,-1.57
"Caterpillar, Inc.",CAT,64216689420,116.74,111.35,150.55,87.5,4.4,10.79,13.61,7.91,10.82,1.47,1.23,0.42,0.08,1.17,1.14,0.78,0.79,1.33,1.36,1.29,1.26,0.75,0.73,0.46,0.5
"Visa, Inc.",V,308878277446,157.39,153.11,214.17,133.93,7.74,28.68,38.18,23.87,5.49,1.56,1.92,0.34,0.16,0.78,0.74,0.73,0.75,1.18,1.2,1.36,1.33,0.85,0.83,0.29,0.34
Bank of America Corp.,BAC,179545862100,20.57,19.77,35.72,17.95,0.68,7.43,13.04,6.55,2.77,0.4,1.12,0.1,0.01,0.59,0.6,0.58,0.57,1.15,1.13,1.74,1.75,0.87,0.88,0.15,0.14
American Express Co.,AXP,61770941480,76.66,77.41,138.13,67.0,2.68,9.57,17.31,8.4,8.01,1.0,1.13,0.29,0.03,0.87,0.95,0.55,0.55,1.14,1.14,1.8,1.81,0.87,0.88,0.14,0.13
JPMorgan Chase & Co.,JPM,269003989800,87.51,84.36,141.1,76.91,1.03,8.14,13.16,7.17,10.75,0.56,1.11,0.14,0.01,0.78,0.82,0.62,0.62,1.14,1.13,1.61,1.62,0.88,0.88,0.17,0.16
Carnival Corp.,CCL,4205442230,7.97,8.8,56.04,7.8,0.17,-1.0,13.57,1.91,-1.0,0.23,2.29,0.12,0.07,4.57,2.51,0.14,-0.07,1.02,-0.52,7.03,-13.57,0.98,-1.91,0.0,-0.25
The Boeing Co.,BA,69552139020,123.27,130.7,398.66,89.0,-8.07,-107.28,-112.62,-25.14,-1.15,1.05,0.94,0.07,-0.0,1.43,0.86,0.31,0.95,1.39,4.27,3.23,1.05,0.72,0.23,0.11,0.94
"Delta Air Lines, Inc.",DAL,14517331920,22.68,23.87,63.44,19.1,0.95,3.09,8.65,2.61,7.35,0.41,1.31,0.31,0.07,1.15,0.82,0.36,0.36,1.19,1.19,2.8,2.8,0.84,0.84,0.08,0.08
"American Airlines Group, Inc.",AAL,4286153540,10.06,10.69,35.24,10.0,-36.32,2.64,7.18,2.04,3.81,0.45,1.0,-14.29,0.03,1.24,0.98,0.29,0.37,1.01,1.29,3.5,2.72,0.99,0.77,0.0,0.12
JetBlue Airways Corp.,JBLU,2153201260,7.63,8.11,21.65,6.61,0.45,3.95,11.34,3.46,1.93,0.67,1.67,0.12,0.05,0.57,0.54,0.35,0.35,1.15,1.14,2.84,2.87,0.87,0.88,0.07,0.06
"Alaska Air Group, Inc.",ALK,3022946100,24.66,26.35,72.22,20.02,0.7,3.95,11.23,3.11,6.24,0.64,1.45,0.18,0.05,0.86,0.75,0.34,0.35,1.23,1.27,2.93,2.84,0.81,0.79,0.09,0.1
"Tesla, Inc.",TSLA,83799268830,454.47,481.56,968.99,176.99,12.66,-91.11,-48449.5,-8849.5,-4.99,1.13,1.31,-0.13,-0.03,0.96,0.98,0.47,0.0,2.57,0.01,2.13,531.77,0.39,97.13,0.35,-0.22
The Coca-Cola Co.,KO,188694930000,43.95,42.12,60.13,36.27,9.94,21.07,28.5,17.19,2.09,0.76,1.32,0.47,0.1,0.62,0.52,0.73,0.74,1.21,1.23,1.37,1.35,0.83,0.82,0.32,0.34
