Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P Position,P/E Position
Carnival Corp.,CCL,6447992980,12.22,12.56,56.04,7.8,0.25,4.51,13.57,1.89,2.71,0.23,0.44,0.12,0.07,0.47,0.38,0.09,0.22
Royal Caribbean Cruises Ltd.,RCL,7521910000,35.99,37.39,135.32,19.25,0.62,4.01,14.18,2.02,8.97,0.15,0.58,0.15,0.06,0.55,0.47,0.14,0.16
Lockheed Martin Corp.,LMT,108014636280,383.21,401.51,442.53,266.11,34.54,17.35,20.17,12.13,22.09,1.22,0.93,1.99,0.13,0.61,0.86,0.66,0.65
The Boeing Co.,BA,81028495860,143.61,154.0,391.0,89.0,-9.4,-124.98,-110.45,-25.14,-1.15,1.05,1.06,0.07,-0.0,0.87,0.83,0.18,1.17
Southwest Airlines Co.,LUV,15802365140,31.06,31.19,58.83,29.15,1.61,7.25,13.75,6.81,4.28,0.67,0.64,0.23,0.09,1.21,1.09,0.06,0.06
"Delta Air Lines, Inc.",DAL,15131822160,23.64,24.27,63.44,19.1,0.99,3.22,8.65,2.61,7.35,0.41,0.76,0.31,0.07,0.82,0.58,0.1,0.1
"American Airlines Group, Inc.",AAL,4712212540,11.06,11.57,34.99,9.09,-39.93,2.9,7.13,1.85,3.81,0.45,1.0,-14.29,0.03,0.8,0.63,0.08,0.2
"United Airlines Holdings, Inc.",UAL,6871272030,27.79,29.08,96.03,17.8,0.6,2.38,7.94,1.47,11.67,0.55,0.8,0.26,0.05,1.3,0.98,0.13,0.14
JetBlue Airways Corp.,JBLU,2327571410,8.63,8.98,21.65,6.61,0.49,4.46,11.34,3.46,1.93,0.67,0.6,0.12,0.05,0.7,0.76,0.13,0.13
"Alaska Air Group, Inc.",ALK,3583159550,29.23,29.93,72.22,20.02,0.83,4.69,11.23,3.11,6.24,0.64,0.69,0.18,0.05,0.48,0.54,0.18,0.19
Archer-Daniels-Midland Co.,ADM,20248938720,36.34,37.19,47.2,28.92,1.05,14.79,17.88,10.95,2.46,1.55,0.56,0.07,0.03,0.61,0.77,0.41,0.55
Bunge Ltd.,BG,5526636480,38.88,40.09,59.65,29.0,0.93,-4.16,13.08,6.36,-9.34,1.55,0.65,-0.22,-0.07,0.63,0.8,0.32,-1.57
"Caterpillar, Inc.",CAT,63039511800,114.6,116.3,150.55,87.5,4.32,10.59,13.61,7.91,10.82,1.47,0.81,0.42,0.08,0.58,0.66,0.43,0.47
"Visa, Inc.",V,322282169911,164.22,169.54,214.17,133.93,8.08,29.93,38.18,23.87,5.49,1.56,0.52,0.34,0.16,0.59,0.75,0.38,0.42
Bank of America Corp.,BAC,195198525000,22.5,23.28,35.72,17.95,0.74,9.13,14.64,7.36,2.46,0.4,0.89,0.1,0.01,0.66,0.81,0.26,0.24
American Express Co.,AXP,67693409780,84.01,87.39,138.13,67.0,2.93,10.49,17.31,8.4,8.01,1.0,0.88,0.29,0.03,0.64,0.74,0.24,0.23
JPMorgan Chase & Co.,JPM,279398183400,91.71,95.18,141.1,76.91,1.07,10.33,15.94,8.69,8.88,0.56,0.9,0.14,0.01,0.73,0.78,0.23,0.23
